1;14-09-2011;ESTER JORQUERA;MARCOS SALAS ZAMORANO;YOGURT GRIEGO;LACTEOS;230;7
1;14-09-2011;ESTER JORQUERA;MARCOS SALAS ZAMORANO;APIO;VERDURAS;180;7
2;14-09-2011;JUAN SOTO;ITALO DONDERO PIAZZE;YOGURT;LACTEOS;180;3
2;14-09-2011;JUAN SOTO;ITALO DONDERO PIAZZE;PEREJIL;VERDURAS;250;10
3;14-09-2011;MARIO MADRID;JIMENA LIRA TORO;QUESO MANTECOSO;LACTEOS;1200;3
3;14-09-2011;MARIO MADRID;JIMENA LIRA TORO;LOMO LISO;CARNE;3200;3
3;14-09-2011;MARIO MADRID;JIMENA LIRA TORO;YOGURT;LACTEOS;180;5
3;14-09-2011;MARIO MADRID;JIMENA LIRA TORO;APIO;VERDURAS;180;1
4;14-09-2011;CLAUDIO MATTA;MAURICIO PAZ LORCA;POSTRE DE LECHE;LACTEOS;280;6
4;14-09-2011;CLAUDIO MATTA;MAURICIO PAZ LORCA;VINO;LICORES;2300;10
5;14-09-2011;IVAN SEPULVEDA;CLAUDIO URRA BRAVO;PISCO;LICORES;2300;10
5;14-09-2011;IVAN SEPULVEDA;CLAUDIO URRA BRAVO;TEQUILA;LICORES;6200;1
5;14-09-2011;IVAN SEPULVEDA;CLAUDIO URRA BRAVO;LECHE DESCREMADA;LACTEOS;200;4
6;14-09-2011;JUAN SOTO;OSCAR MORALES SILVA;ESCOBA;ASEO;1000;4
6;14-09-2011;JUAN SOTO;OSCAR MORALES SILVA;LOMO LISO;CARNE;3200;9
6;14-09-2011;JUAN SOTO;OSCAR MORALES SILVA;APIO;VERDURAS;180;8
6;14-09-2011;JUAN SOTO;OSCAR MORALES SILVA;YOGURT GRIEGO;LACTEOS;230;9
7;14-09-2011;MARIO MADRID;IGNACIO CASTRO CIFUENTES;TEQUILA;LICORES;6200;9
7;14-09-2011;MARIO MADRID;IGNACIO CASTRO CIFUENTES;MAGISTRAL;ASEO;2450;3
7;14-09-2011;MARIO MADRID;IGNACIO CASTRO CIFUENTES;ESPONJA;ASEO;250;3
7;14-09-2011;MARIO MADRID;IGNACIO CASTRO CIFUENTES;CILANTRO;VERDURAS;200;9
7;14-09-2011;MARIO MADRID;IGNACIO CASTRO CIFUENTES;YOGURT;LACTEOS;180;5
8;14-09-2011;HELLEN ESCARATE;PIEDAD MEJIAS SALAS;QUESO MANTECOSO;LACTEOS;1200;8
8;14-09-2011;HELLEN ESCARATE;PIEDAD MEJIAS SALAS;VINO;LICORES;2300;4
8;14-09-2011;HELLEN ESCARATE;PIEDAD MEJIAS SALAS;RON;LICORES;7500;1
9;14-09-2011;JOSE MARTINEZ;JIMENA LIRA TORO;PEREJIL;VERDURAS;250;5
9;14-09-2011;JOSE MARTINEZ;JIMENA LIRA TORO;QUESILLO;LACTEOS;200;8
9;14-09-2011;JOSE MARTINEZ;JIMENA LIRA TORO;LECHE DESCREMADA;LACTEOS;200;9
9;14-09-2011;JOSE MARTINEZ;JIMENA LIRA TORO;VINO;LICORES;2300;10
10;15-09-2011;GUILLERMO LIRA;LAIS BARRERA CABACH;ESPONJA;ASEO;250;7
10;15-09-2011;GUILLERMO LIRA;LAIS BARRERA CABACH;PISCO;LICORES;2300;9
10;15-09-2011;GUILLERMO LIRA;LAIS BARRERA CABACH;RON;LICORES;7500;7
10;15-09-2011;GUILLERMO LIRA;LAIS BARRERA CABACH;LOMO LISO;CARNE;3200;8
10;15-09-2011;GUILLERMO LIRA;LAIS BARRERA CABACH;YOGURT;LACTEOS;180;7
10;15-09-2011;GUILLERMO LIRA;LAIS BARRERA CABACH;VINO;LICORES;2300;3
11;15-09-2011;HELLEN ESCARATE;JUAN VERA HERNANDEZ;LOMO LISO;CARNE;3200;10
11;15-09-2011;HELLEN ESCARATE;JUAN VERA HERNANDEZ;ESCOBA;ASEO;1000;8
11;15-09-2011;HELLEN ESCARATE;JUAN VERA HERNANDEZ;POSTRE DE LECHE;LACTEOS;280;8
11;15-09-2011;HELLEN ESCARATE;JUAN VERA HERNANDEZ;QUESILLO;LACTEOS;200;3
12;15-09-2011;MARIO MADRID;JOSE CARRERA MARTEL;YOGURT GRIEGO;LACTEOS;230;10
12;15-09-2011;MARIO MADRID;JOSE CARRERA MARTEL;TEQUILA;LICORES;6200;8
13;15-09-2011;CLAUDIA PEREZ;RICARDO SAN MARTIN GOMEZ;CILANTRO;VERDURAS;200;4
13;15-09-2011;CLAUDIA PEREZ;RICARDO SAN MARTIN GOMEZ;YOGURT;LACTEOS;180;7
14;15-09-2011;JUAN SOTO;JUAN VERA HERNANDEZ;ESPONJA;ASEO;250;5
14;15-09-2011;JUAN SOTO;JUAN VERA HERNANDEZ;QUESILLO;LACTEOS;200;8
14;15-09-2011;JUAN SOTO;JUAN VERA HERNANDEZ;QUESO MANTECOSO;LACTEOS;1200;1
14;15-09-2011;JUAN SOTO;JUAN VERA HERNANDEZ;PEREJIL;VERDURAS;250;5
15;15-09-2011;MONICA CASTRO;JOSE CARRERA MARTEL;APIO;VERDURAS;180;5
15;15-09-2011;MONICA CASTRO;JOSE CARRERA MARTEL;QUESO MANTECOSO;LACTEOS;1200;2
15;15-09-2011;MONICA CASTRO;JOSE CARRERA MARTEL;ESPONJA;ASEO;250;5
16;15-09-2011;EDUARDO FIOL;MAGDALENA REYES REYES;TEQUILA;LICORES;6200;7
16;15-09-2011;EDUARDO FIOL;MAGDALENA REYES REYES;VINO;LICORES;2300;9
16;15-09-2011;EDUARDO FIOL;MAGDALENA REYES REYES;LOMO LISO;CARNE;3200;8
16;15-09-2011;EDUARDO FIOL;MAGDALENA REYES REYES;MAGISTRAL;ASEO;2450;7
17;15-09-2011;GUILLERMO LIRA;CRISTIAN HERNANDEZ FERNANDEZ;PEREJIL;VERDURAS;250;9
17;15-09-2011;GUILLERMO LIRA;CRISTIAN HERNANDEZ FERNANDEZ;PISCO;LICORES;2300;9
17;15-09-2011;GUILLERMO LIRA;CRISTIAN HERNANDEZ FERNANDEZ;APIO;VERDURAS;180;1
18;16-09-2011;CLAUDIO MATTA;OMAR CASTRO CASTRO;PISCO;LICORES;2300;9
18;16-09-2011;CLAUDIO MATTA;OMAR CASTRO CASTRO;QUESO MANTECOSO;LACTEOS;1200;3
18;16-09-2011;CLAUDIO MATTA;OMAR CASTRO CASTRO;FILETE;CARNE;4500;10
18;16-09-2011;CLAUDIO MATTA;OMAR CASTRO CASTRO;ESPONJA;ASEO;250;5
18;16-09-2011;CLAUDIO MATTA;OMAR CASTRO CASTRO;LECHE DESCREMADA;LACTEOS;200;5
19;16-09-2011;CLAUDIA PEREZ;MAURICIO PAZ LORCA;PISCO;LICORES;2300;5
19;16-09-2011;CLAUDIA PEREZ;MAURICIO PAZ LORCA;ESCOBA;ASEO;1000;2
20;16-09-2011;MOISES VILLARROEL;CLAUDIO URRA BRAVO;POSTRE DE LECHE;LACTEOS;280;6
20;16-09-2011;MOISES VILLARROEL;CLAUDIO URRA BRAVO;LECHE DESCREMADA;LACTEOS;200;1
21;16-09-2011;EDUARDO FIOL;JOSE CARRERA MARTEL;LECHE DESCREMADA;LACTEOS;200;4
21;16-09-2011;EDUARDO FIOL;JOSE CARRERA MARTEL;POSTRE DE LECHE;LACTEOS;280;4
22;16-09-2011;MARIO MADRID;JIMENA LIRA TORO;RON;LICORES;7500;4
22;16-09-2011;MARIO MADRID;JIMENA LIRA TORO;LECHE DESCREMADA;LACTEOS;200;7
23;16-09-2011;HELLEN ESCARATE;JOSE CARRERA MARTEL;POSTRE DE LECHE;LACTEOS;280;4
23;16-09-2011;HELLEN ESCARATE;JOSE CARRERA MARTEL;FILETE;CARNE;4500;1
23;16-09-2011;HELLEN ESCARATE;JOSE CARRERA MARTEL;LECHE DESCREMADA;LACTEOS;200;2
23;16-09-2011;HELLEN ESCARATE;JOSE CARRERA MARTEL;APIO;VERDURAS;180;6
24;16-09-2011;EDUARDO FIOL;JUAN VERA HERNANDEZ;LECHE DESCREMADA;LACTEOS;200;8
24;16-09-2011;EDUARDO FIOL;JUAN VERA HERNANDEZ;VINO;LICORES;2300;5
24;16-09-2011;EDUARDO FIOL;JUAN VERA HERNANDEZ;PEREJIL;VERDURAS;250;5
24;16-09-2011;EDUARDO FIOL;JUAN VERA HERNANDEZ;APIO;VERDURAS;180;4
24;16-09-2011;EDUARDO FIOL;JUAN VERA HERNANDEZ;COLIFROR;VERDURAS;700;2
25;16-09-2011;ESTER JORQUERA;OSCAR MORALES SILVA;APIO;VERDURAS;180;4
25;16-09-2011;ESTER JORQUERA;OSCAR MORALES SILVA;ESCOBA;ASEO;1000;7
25;16-09-2011;ESTER JORQUERA;OSCAR MORALES SILVA;COLIFROR;VERDURAS;700;7
26;17-09-2011;MOISES VILLARROEL;MONSERRAT UGARTE PRAT;POSTRE DE LECHE;LACTEOS;280;4
26;17-09-2011;MOISES VILLARROEL;MONSERRAT UGARTE PRAT;VINO;LICORES;2300;3
26;17-09-2011;MOISES VILLARROEL;MONSERRAT UGARTE PRAT;LOMO LISO;CARNE;3200;8
26;17-09-2011;MOISES VILLARROEL;MONSERRAT UGARTE PRAT;APIO;VERDURAS;180;8
26;17-09-2011;MOISES VILLARROEL;MONSERRAT UGARTE PRAT;QUESILLO;LACTEOS;200;8
